Stazione, Brescia - Broletto

Data/Ora, PM10 (SM2005) - µg/m³
2018/06/08,16
2018/06/09,22
2018/06/10,27
2018/06/11,36
2018/06/12,27
2018/06/13,14
2018/06/14,13
2018/06/15,18
2018/06/16,19
2018/06/17,21
2018/06/18,21
2018/06/19,22
2018/06/20,25
2018/06/21,38
2018/06/22,21
2018/06/23,15
2018/06/24,14
2018/06/25,14
2018/06/26,13
2018/06/27,19
2018/06/28,18
2018/06/29,25
2018/06/30,25
2018/07/01,24
2018/07/02,27
2018/07/03,32
2018/07/04,20
2018/07/05,14
2018/07/06,15
2018/07/07,13
2018/07/08,14
2018/07/09,16
2018/07/10,21
2018/07/11,16
2018/07/12,26
2018/07/13,28
2018/07/14,25
2018/07/15,18
2018/07/16,14
2018/07/17,20
2018/07/18,23
2018/07/19,28
2018/07/20,29
2018/07/21,12
2018/07/22,12
2018/07/23,18
2018/07/24,20
2018/07/25,20
2018/07/26,24
2018/07/27,22
2018/07/28,26
2018/07/29,19
2018/07/30,29
2018/07/31,35
2018/08/01,30
2018/08/02,25
2018/08/03,24
2018/08/04,20
2018/08/05,20
2018/08/06,26
2018/08/07,26
2018/08/08,36
2018/08/09,29
2018/08/10,22
2018/08/11,23
2018/08/12,17
2018/08/13,18
2018/08/14,23
2018/08/15,8
2018/08/16,13
2018/08/17,19
2018/08/18,20
2018/08/19,18
2018/08/20,20
2018/08/21,22
2018/08/22,25
2018/08/23,26
2018/08/24,25
2018/08/25,13
2018/08/26,7
2018/08/27,9
2018/08/28,17
2018/08/29,19
2018/08/30,25
2018/08/31,18
2018/09/01,8
2018/09/02,8
2018/09/03,9
2018/09/04,16
2018/09/05,24
2018/09/06,30
2018/09/07,18
2018/09/08,-999
2018/09/09,-999
2018/09/10,-999
2018/09/11,44
2018/09/12,47
2018/09/13,42
2018/09/14,39
2018/09/15,30
2018/09/16,25
2018/09/17,36
2018/09/18,26
2018/09/19,35
2018/09/20,32
2018/09/21,38
2018/09/22,40
2018/09/23,35
2018/09/24,-999
2018/09/25,-999
2018/09/26,18
2018/09/27,32
2018/09/28,31
2018/09/29,20
2018/09/30,19
2018/10/01,21
2018/10/02,15
2018/10/03,33
2018/10/04,24
2018/10/05,26
2018/10/06,36
2018/10/07,40
2018/10/08,39
2018/10/09,33
2018/10/10,30
2018/10/11,33
2018/10/12,40
2018/10/13,43
2018/10/14,34
2018/10/15,38
2018/10/16,35
2018/10/17,36
2018/10/18,41
2018/10/19,42
2018/10/20,52
2018/10/21,-999
2018/10/22,-999
2018/10/23,33
2018/10/24,50
2018/10/25,40
2018/10/26,36
2018/10/27,21
2018/10/28,12
2018/10/29,19
2018/10/30,13
2018/10/31,13
2018/11/01,10
2018/11/02,23
2018/11/03,21
2018/11/04,-999
2018/11/05,17
2018/11/06,10
2018/11/07,19
2018/11/08,20
2018/11/09,36
2018/11/10,39
2018/11/11,29
2018/11/12,44
2018/11/13,42
2018/11/14,30
2018/11/15,36
2018/11/16,24
2018/11/17,19
2018/11/18,22
2018/11/19,27
2018/11/20,30
2018/11/21,35
2018/11/22,51
2018/11/23,48
2018/11/24,21
2018/11/25,23
2018/11/26,32
2018/11/27,36
2018/11/28,24
2018/11/29,34
2018/11/30,48
2018/12/01,58
2018/12/02,56
2018/12/03,83
2018/12/04,74
2018/12/05,37
2018/12/06,62
2018/12/07,66
2018/12/08,31
2018/12/09,28
2018/12/10,19
2018/12/11,15
2018/12/12,19
2018/12/13,22
2018/12/14,35
2018/12/15,48
2018/12/16,64
2018/12/17,88
2018/12/18,-999
2018/12/19,70
2018/12/20,41
2018/12/21,51
2018/12/22,65
2018/12/23,53
2018/12/24,44
2018/12/25,39
2018/12/26,41
2018/12/27,51
2018/12/28,67
2018/12/29,46
2018/12/30,37
2018/12/31,38
2019/01/01,58
2019/01/02,39
2019/01/03,19
2019/01/04,28
2019/01/05,40
2019/01/06,36
2019/01/07,43
2019/01/08,73
2019/01/09,47
2019/01/10,19
2019/01/11,-999
2019/01/12,-999
2019/01/13,60
2019/01/14,44
2019/01/15,23
2019/01/16,43
2019/01/17,60
2019/01/18,48
2019/01/19,22
2019/01/20,37
2019/01/21,46
2019/01/22,33
2019/01/23,41
2019/01/24,52
2019/01/25,32
2019/01/26,52
2019/01/27,66
2019/01/28,59
2019/01/29,29
2019/01/30,21
2019/01/31,48
2019/02/01,35
2019/02/02,37
2019/02/03,30
2019/02/04,22
2019/02/05,30
2019/02/06,40
2019/02/07,58
2019/02/08,46
2019/02/09,46
2019/02/10,80
2019/02/11,37
2019/02/12,20
2019/02/13,27
2019/02/14,44
2019/02/15,54
2019/02/16,69
2019/02/17,70
2019/02/18,61
2019/02/19,57
2019/02/20,111
2019/02/21,108
2019/02/22,98
2019/02/23,38
2019/02/24,32
2019/02/25,59
2019/02/26,63
2019/02/27,55
2019/02/28,70
2019/03/01,89
2019/03/02,70
2019/03/03,53
2019/03/04,66
2019/03/05,25
2019/03/06,38
2019/03/07,39
2019/03/08,34
2019/03/09,32
2019/03/10,32
2019/03/11,28
2019/03/12,12
2019/03/13,26
2019/03/14,36
2019/03/15,35
2019/03/16,52
2019/03/17,57
2019/03/18,13
2019/03/19,11
2019/03/20,18
2019/03/21,32
2019/03/22,49
2019/03/23,46
2019/03/24,48
2019/03/25,36
2019/03/26,19
2019/03/27,16
2019/03/28,25
2019/03/29,39
2019/03/30,43
2019/03/31,43
2019/04/01,40
2019/04/02,36
2019/04/03,27
2019/04/04,10
2019/04/05,20
2019/04/06,22
2019/04/07,15
2019/04/08,30
2019/04/09,20
2019/04/10,19
2019/04/11,14
2019/04/12,15
2019/04/13,23
2019/04/14,21
2019/04/15,16
2019/04/16,23
2019/04/17,29
2019/04/18,30
2019/04/19,23
2019/04/20,22
2019/04/21,15
2019/04/22,18
2019/04/23,7
2019/04/24,19
2019/04/25,23
2019/04/26,29
2019/04/27,11
2019/04/28,7
2019/04/29,11
2019/04/30,17
2019/05/01,16
2019/05/02,22
2019/05/03,11
2019/05/04,12
2019/05/05,7
2019/05/06,13
2019/05/07,16
2019/05/08,15
2019/05/09,15
2019/05/10,23
2019/05/11,17
2019/05/12,11
2019/05/13,23
2019/05/14,17
2019/05/15,14
2019/05/16,22
2019/05/17,15
2019/05/18,10
2019/05/19,15
2019/05/20,16
2019/05/21,23
2019/05/22,22
2019/05/23,18
2019/05/24,25
2019/05/25,13
2019/05/26,14
2019/05/27,13
2019/05/28,15
2019/05/29,16
2019/05/30,16
2019/05/31,14
2019/06/01,22
2019/06/02,-999
2019/06/03,-999
2019/06/04,37
2019/06/05,42
2019/06/06,30
2019/06/07,23
2019/06/08,31
