Id Sensore,Data-Ora,Valore Medio giornaliero,Valore Minimo orario,Valore Massimo orario
14478,2018/06/08,16.9,12.7,23.3
14478,2018/06/09,17.2,12.0,27.1
14478,2018/06/10,20.0,12.6,27.9
14478,2018/06/11,20.4,16.2,28.1
14478,2018/06/12,17.0,13.1,24.6
14478,2018/06/13,15.9,12.2,20.7
14478,2018/06/14,17.8,13.4,24.6
14478,2018/06/15,17.8,13.1,24.2
14478,2018/06/16,18.2,12.1,24.2
14478,2018/06/17,19.1,13.6,25.6
14478,2018/06/18,18.7,14.4,25.1
14478,2018/06/19,20.4,14.6,27.5
14478,2018/06/20,19.5,14.6,26.3
14478,2018/06/21,19.7,14.3,27.9
14478,2018/06/22,18.8,13.2,24.0
14478,2018/06/23,15.5,10.4,21.5
14478,2018/06/24,14.7,9.4,21.9
14478,2018/06/25,14.3,9.8,20.6
14478,2018/06/26,16.0,10.6,23.5
14478,2018/06/27,15.8,10.3,24.4
14478,2018/06/28,13.8,8.6,20.5
14478,2018/06/29,18.9,11.1,27.5
14478,2018/06/30,21.5,14.6,30.2
14478,2018/07/01,21.3,15.4,27.5
14478,2018/07/02,20.3,17.2,26.1
14478,2018/07/03,21.6,16.5,28.4
14478,2018/07/04,19.7,14.7,27.5
14478,2018/07/05,18.6,14.2,27.0
14478,2018/07/06,17.6,12.3,26.4
14478,2018/07/07,18.8,12.3,26.9
14478,2018/07/08,19.5,14.3,27.4
14478,2018/07/09,19.1,13.3,27.1
14478,2018/07/10,19.0,14.1,26.0
14478,2018/07/11,17.9,14.4,24.5
14478,2018/07/12,18.7,13.5,24.7
14478,2018/07/13,18.8,12.1,26.1
14478,2018/07/14,19.1,14.3,27.6
14478,2018/07/15,19.7,13.4,27.1
14478,2018/07/16,17.6,13.1,25.9
14478,2018/07/17,18.9,11.6,27.4
14478,2018/07/18,20.7,13.1,28.8
14478,2018/07/19,20.4,15.0,29.6
14478,2018/07/20,18.7,14.9,29.5
14478,2018/07/21,15.8,13.2,20.6
14478,2018/07/22,17.5,12.3,26.9
14478,2018/07/23,18.2,13.9,24.9
14478,2018/07/24,19.8,14.3,27.1
14478,2018/07/25,18.9,13.9,26.9
14478,2018/07/26,19.2,14.8,28.2
14478,2018/07/27,19.2,13.7,27.5
14478,2018/07/28,18.7,13.7,28.8
14478,2018/07/29,19.3,12.7,28.1
14478,2018/07/30,21.4,16.5,29.9
14478,2018/07/31,22.0,17.1,31.6
14478,2018/08/01,22.0,17.0,30.2
14478,2018/08/02,-999,-999,-999
14478,2018/08/03,21.5,15.6,29.1
14478,2018/08/04,20.6,15.2,29.6
14478,2018/08/05,20.9,15.8,29.1
14478,2018/08/06,21.3,18.0,28.0
14478,2018/08/07,22.1,15.6,30.0
14478,2018/08/08,21.6,15.9,29.9
14478,2018/08/09,19.7,14.9,27.6
14478,2018/08/10,20.1,14.8,27.4
14478,2018/08/11,18.4,14.4,26.0
14478,2018/08/12,18.0,14.3,25.9
14478,2018/08/13,18.0,13.0,26.0
14478,2018/08/14,17.3,13.8,23.0
14478,2018/08/15,17.9,12.4,24.2
14478,2018/08/16,19.2,15.8,25.1
14478,2018/08/17,19.9,15.5,27.9
14478,2018/08/18,21.1,15.5,29.0
14478,2018/08/19,21.2,16.0,29.7
14478,2018/08/20,21.5,16.6,30.6
14478,2018/08/21,22.7,17.6,29.8
14478,2018/08/22,20.8,15.7,29.1
14478,2018/08/23,20.0,16.4,26.1
14478,2018/08/24,18.2,14.8,24.4
14478,2018/08/25,15.0,12.4,18.4
14478,2018/08/26,14.3,8.3,21.2
14478,2018/08/27,15.4,9.3,23.6
14478,2018/08/28,-999,-999,-999
14478,2018/08/29,17.9,11.9,26.5
14478,2018/08/30,18.3,13.0,25.0
14478,2018/08/31,16.4,12.9,20.1
14478,2018/09/01,-999,-999,-999
14478,2018/09/02,13.2,11.4,17.1
14478,2018/09/03,12.7,9.9,19.8
14478,2018/09/04,15.0,8.8,24.9
14478,2018/09/05,16.1,11.2,24.6
14478,2018/09/06,16.5,12.6,24.1
14478,2018/09/07,16.1,13.0,20.4
14478,2018/09/08,17.1,12.6,24.3
14478,2018/09/09,17.6,12.0,26.0
14478,2018/09/10,18.5,13.3,25.9
14478,2018/09/11,19.1,13.6,26.7
14478,2018/09/12,19.3,13.8,27.4
14478,2018/09/13,-999,-999,-999
14478,2018/09/14,16.6,13.3,24.8
14478,2018/09/15,17.1,13.2,23.9
14478,2018/09/16,17.2,12.5,23.6
14478,2018/09/17,17.7,13.1,24.8
14478,2018/09/18,17.2,13.5,22.3
14478,2018/09/19,17.4,12.3,25.1
14478,2018/09/20,17.9,12.4,26.9
14478,2018/09/21,18.1,12.8,26.4
14478,2018/09/22,18.3,13.3,24.6
14478,2018/09/23,18.8,14.7,25.7
14478,2018/09/24,16.6,11.1,23.1
14478,2018/09/25,9.3,5.6,15.2
14478,2018/09/26,8.5,3.5,15.7
14478,2018/09/27,12.1,5.3,23.4
14478,2018/09/28,14.3,8.5,25.2
14478,2018/09/29,14.9,10.1,23.6
14478,2018/09/30,12.4,8.3,18.6
14478,2018/10/01,9.3,7.2,11.8
14478,2018/10/02,8.9,3.9,17.1
14478,2018/10/03,10.9,4.7,20.1
14478,2018/10/04,12.1,7.4,20.8
14478,2018/10/05,12.2,6.9,20.5
14478,2018/10/06,13.1,10.5,17.0
14478,2018/10/07,12.6,8.6,19.5
14478,2018/10/08,14.0,9.7,20.1
14478,2018/10/09,14.3,10.1,21.5
14478,2018/10/10,13.3,9.1,20.8
14478,2018/10/11,13.3,9.3,18.3
14478,2018/10/12,14.0,9.4,21.4
14478,2018/10/13,13.2,8.8,21.0
14478,2018/10/14,12.7,7.4,20.7
14478,2018/10/15,11.8,8.7,17.6
14478,2018/10/16,11.5,7.1,18.8
14478,2018/10/17,12.4,8.2,17.6
14478,2018/10/18,13.2,8.6,20.9
14478,2018/10/19,13.3,8.7,21.6
14478,2018/10/20,13.7,9.8,20.0
14478,2018/10/21,11.5,7.4,18.6
14478,2018/10/22,8.5,4.0,16.6
14478,2018/10/23,9.3,4.0,18.3
14478,2018/10/24,15.7,8.7,26.7
14478,2018/10/25,13.4,9.9,19.5
14478,2018/10/26,12.0,8.8,16.3
14478,2018/10/27,10.9,10.1,12.4
14478,2018/10/28,10.7,9.4,12.0
14478,2018/10/29,-999,-999,-999
14478,2018/10/30,6.5,5.2,8.9
14478,2018/10/31,7.2,3.5,11.2
14478,2018/11/01,7.6,5.8,10.6
14478,2018/11/02,8.9,6.3,12.5
