Stazione, Milano - Pascal Città Studi

Data/Ora, PM10 (SM2005) - µg/m³
2018/02/26,21
2018/02/27,26
2018/02/28,43
2018/03/01,55
2018/03/02,57
2018/03/03,43
2018/03/04,35
2018/03/05,55
2018/03/06,49
2018/03/07,40
2018/03/08,36
2018/03/09,31
2018/03/10,14
2018/03/11,19
2018/03/12,21
2018/03/13,37
2018/03/14,25
2018/03/15,25
2018/03/16,17
2018/03/17,15
2018/03/18,7
2018/03/19,8
2018/03/20,21
2018/03/21,25
2018/03/22,30
2018/03/23,42
2018/03/24,32
2018/03/25,25
2018/03/26,51
2018/03/27,45
2018/03/28,42
2018/03/29,54
2018/03/30,32
2018/03/31,15
2018/04/01,7
2018/04/02,14
2018/04/03,20
2018/04/04,20
2018/04/05,27
2018/04/06,38
2018/04/07,41
2018/04/08,29
2018/04/09,17
2018/04/10,16
2018/04/11,14
2018/04/12,13
2018/04/13,14
2018/04/14,22
2018/04/15,25
2018/04/16,30
2018/04/17,49
2018/04/18,45
2018/04/19,39
2018/04/20,-999
2018/04/21,41
2018/04/22,31
2018/04/23,31
2018/04/24,34
2018/04/25,33
2018/04/26,31
2018/04/27,31
2018/04/28,36
2018/04/29,28
2018/04/30,15
2018/05/01,11
2018/05/02,10
2018/05/03,24
2018/05/04,25
2018/05/05,26
2018/05/06,28
2018/05/07,20
2018/05/08,23
2018/05/09,13
2018/05/10,18
2018/05/11,23
2018/05/12,17
2018/05/13,14
2018/05/14,-999
2018/05/15,-999
2018/05/16,-999
2018/05/17,-999
2018/05/18,17
2018/05/19,15
2018/05/20,11
2018/05/21,14
2018/05/22,22
2018/05/23,15
2018/05/24,21
2018/05/25,24
2018/05/26,32
2018/05/27,26
2018/05/28,15
2018/05/29,16
2018/05/30,36
2018/05/31,26
2018/06/01,20
2018/06/02,19
2018/06/03,17
2018/06/04,23
2018/06/05,19
2018/06/06,16
2018/06/07,-999
2018/06/08,-999
2018/06/09,-999
2018/06/10,-999
2018/06/11,-999
2018/06/12,-999
2018/06/13,16
2018/06/14,13
2018/06/15,30
2018/06/16,21
2018/06/17,19
2018/06/18,17
2018/06/19,23
2018/06/20,25
2018/06/21,27
2018/06/22,21
2018/06/23,-999
2018/06/24,-999
2018/06/25,-999
2018/06/26,17
2018/06/27,26
2018/06/28,16
2018/06/29,20
2018/06/30,22
2018/07/01,23
2018/07/02,23
2018/07/03,25
2018/07/04,14
2018/07/05,13
2018/07/06,16
2018/07/07,16
2018/07/08,15
2018/07/09,19
2018/07/10,21
2018/07/11,15
2018/07/12,20
2018/07/13,23
2018/07/14,24
2018/07/15,19
2018/07/16,16
2018/07/17,18
2018/07/18,21
2018/07/19,21
2018/07/20,22
2018/07/21,7
2018/07/22,11
2018/07/23,13
2018/07/24,17
2018/07/25,20
2018/07/26,26
2018/07/27,15
2018/07/28,18
2018/07/29,16
2018/07/30,22
2018/07/31,24
2018/08/01,25
2018/08/02,22
2018/08/03,22
2018/08/04,18
2018/08/05,17
2018/08/06,18
2018/08/07,16
2018/08/08,21
2018/08/09,-999
2018/08/10,-999
2018/08/11,17
2018/08/12,17
2018/08/13,14
2018/08/14,15
2018/08/15,9
2018/08/16,13
2018/08/17,15
2018/08/18,17
2018/08/19,18
2018/08/20,20
2018/08/21,23
2018/08/22,24
2018/08/23,26
2018/08/24,17
2018/08/25,11
2018/08/26,9
2018/08/27,9
2018/08/28,21
2018/08/29,21
2018/08/30,27
2018/08/31,13
2018/09/01,9
2018/09/02,9
2018/09/03,13
2018/09/04,18
2018/09/05,21
2018/09/06,26
2018/09/07,18
2018/09/08,21
2018/09/09,23
2018/09/10,32
2018/09/11,37
2018/09/12,35
2018/09/13,35
2018/09/14,24
2018/09/15,35
2018/09/16,32
2018/09/17,28
2018/09/18,39
2018/09/19,42
2018/09/20,45
2018/09/21,45
2018/09/22,28
2018/09/23,25
2018/09/24,26
2018/09/25,19
2018/09/26,23
2018/09/27,48
2018/09/28,52
2018/09/29,37
2018/09/30,22
2018/10/01,18
2018/10/02,18
2018/10/03,36
2018/10/04,51
2018/10/05,37
2018/10/06,39
2018/10/07,33
2018/10/08,38
2018/10/09,54
2018/10/10,57
2018/10/11,42
2018/10/12,32
2018/10/13,52
2018/10/14,51
2018/10/15,52
2018/10/16,53
2018/10/17,63
2018/10/18,57
2018/10/19,56
2018/10/20,64
2018/10/21,60
2018/10/22,26
2018/10/23,37
2018/10/24,24
2018/10/25,65
2018/10/26,31
2018/10/27,-999
2018/10/28,12
2018/10/29,10
2018/10/30,-999
2018/10/31,15
2018/11/01,18
2018/11/02,30
2018/11/03,16
2018/11/04,23
2018/11/05,16
2018/11/06,16
2018/11/07,20
2018/11/08,18
2018/11/09,25
2018/11/10,33
2018/11/11,28
2018/11/12,25
2018/11/13,30
2018/11/14,44
2018/11/15,54
2018/11/16,29
2018/11/17,23
2018/11/18,19
2018/11/19,31
2018/11/20,22
2018/11/21,-999
2018/11/22,39
2018/11/23,39
2018/11/24,12
2018/11/25,24
2018/11/26,26
2018/11/27,40
2018/11/28,41
2018/11/29,39
2018/11/30,52
2018/12/01,71
2018/12/02,63
2018/12/03,75
2018/12/04,66
2018/12/05,65
2018/12/06,58
2018/12/07,73
2018/12/08,21
2018/12/09,26
2018/12/10,10
2018/12/11,23
2018/12/12,38
2018/12/13,30
2018/12/14,40
2018/12/15,61
2018/12/16,71
2018/12/17,68
2018/12/18,82
2018/12/19,59
2018/12/20,29
2018/12/21,38
2018/12/22,38
2018/12/23,35
2018/12/24,32
2018/12/25,35
2018/12/26,42
2018/12/27,58
2018/12/28,77
2018/12/29,81
2018/12/30,52
2018/12/31,52
2019/01/01,91
2019/01/02,20
2019/01/03,19
2019/01/04,54
2019/01/05,67
2019/01/06,68
2019/01/07,92
2019/01/08,108
2019/01/09,29
2019/01/10,20
2019/01/11,38
2019/01/12,61
2019/01/13,73
2019/01/14,17
2019/01/15,33
2019/01/16,66
2019/01/17,42
2019/01/18,40
2019/01/19,15
2019/01/20,47
2019/01/21,74
2019/01/22,77
2019/01/23,49
2019/01/24,62
2019/01/25,59
2019/01/26,77
2019/01/27,66
2019/01/28,46
2019/01/29,51
2019/01/30,25
2019/01/31,43
2019/02/01,28
2019/02/02,31
2019/02/03,29
2019/02/04,30
2019/02/05,49
2019/02/06,65
2019/02/07,79
2019/02/08,99
2019/02/09,72
2019/02/10,66
2019/02/11,21
2019/02/12,20
2019/02/13,31
2019/02/14,62
2019/02/15,82
2019/02/16,90
2019/02/17,90
2019/02/18,48
2019/02/19,27
2019/02/20,66
2019/02/21,84
2019/02/22,79
2019/02/23,49
2019/02/24,31
2019/02/25,68
2019/02/26,72
