Stazione, Milano - viale Marche

Data/Ora, PM10 (SM2005) - µg/m³
2018/02/26,34
2018/02/27,37
2018/02/28,58
2018/03/01,67
2018/03/02,77
2018/03/03,54
2018/03/04,44
2018/03/05,58
2018/03/06,57
2018/03/07,50
2018/03/08,44
2018/03/09,47
2018/03/10,26
2018/03/11,21
2018/03/12,29
2018/03/13,40
2018/03/14,33
2018/03/15,36
2018/03/16,19
2018/03/17,25
2018/03/18,10
2018/03/19,18
2018/03/20,31
2018/03/21,28
2018/03/22,35
2018/03/23,56
2018/03/24,38
2018/03/25,30
2018/03/26,57
2018/03/27,61
2018/03/28,51
2018/03/29,60
2018/03/30,45
2018/03/31,21
2018/04/01,7
2018/04/02,24
2018/04/03,27
2018/04/04,-999
2018/04/05,-999
2018/04/06,-999
2018/04/07,49
2018/04/08,38
2018/04/09,22
2018/04/10,21
2018/04/11,22
2018/04/12,13
2018/04/13,13
2018/04/14,25
2018/04/15,26
2018/04/16,37
2018/04/17,54
2018/04/18,51
2018/04/19,47
2018/04/20,48
2018/04/21,52
2018/04/22,36
2018/04/23,39
2018/04/24,35
2018/04/25,34
2018/04/26,32
2018/04/27,41
2018/04/28,42
2018/04/29,39
2018/04/30,20
2018/05/01,18
2018/05/02,16
2018/05/03,24
2018/05/04,29
2018/05/05,30
2018/05/06,30
2018/05/07,23
2018/05/08,25
2018/05/09,19
2018/05/10,19
2018/05/11,29
2018/05/12,20
2018/05/13,18
2018/05/14,7
2018/05/15,12
2018/05/16,20
2018/05/17,20
2018/05/18,23
2018/05/19,22
2018/05/20,14
2018/05/21,15
2018/05/22,27
2018/05/23,22
2018/05/24,25
2018/05/25,22
2018/05/26,39
2018/05/27,35
2018/05/28,18
2018/05/29,22
2018/05/30,41
2018/05/31,27
2018/06/01,20
2018/06/02,19
2018/06/03,19
2018/06/04,28
2018/06/05,25
2018/06/06,17
2018/06/07,17
2018/06/08,15
2018/06/09,15
2018/06/10,19
2018/06/11,30
2018/06/12,32
2018/06/13,18
2018/06/14,15
2018/06/15,19
2018/06/16,22
2018/06/17,24
2018/06/18,19
2018/06/19,27
2018/06/20,27
2018/06/21,27
2018/06/22,24
2018/06/23,19
2018/06/24,18
2018/06/25,22
2018/06/26,15
2018/06/27,23
2018/06/28,17
2018/06/29,22
2018/06/30,22
2018/07/01,25
2018/07/02,26
2018/07/03,28
2018/07/04,16
2018/07/05,17
2018/07/06,19
2018/07/07,19
2018/07/08,20
2018/07/09,21
2018/07/10,27
2018/07/11,23
2018/07/12,32
2018/07/13,35
2018/07/14,31
2018/07/15,22
2018/07/16,20
2018/07/17,19
2018/07/18,23
2018/07/19,21
2018/07/20,27
2018/07/21,14
2018/07/22,11
2018/07/23,13
2018/07/24,17
2018/07/25,19
2018/07/26,35
2018/07/27,21
2018/07/28,23
2018/07/29,17
2018/07/30,25
2018/07/31,29
2018/08/01,29
2018/08/02,22
2018/08/03,24
2018/08/04,23
2018/08/05,19
2018/08/06,26
2018/08/07,16
2018/08/08,21
2018/08/09,23
2018/08/10,19
2018/08/11,18
2018/08/12,22
2018/08/13,16
2018/08/14,15
2018/08/15,12
2018/08/16,14
2018/08/17,17
2018/08/18,18
2018/08/19,19
2018/08/20,20
2018/08/21,23
2018/08/22,26
2018/08/23,27
2018/08/24,18
2018/08/25,18
2018/08/26,10
2018/08/27,8
2018/08/28,23
2018/08/29,23
2018/08/30,27
2018/08/31,19
2018/09/01,9
2018/09/02,11
2018/09/03,12
2018/09/04,16
2018/09/05,20
2018/09/06,29
2018/09/07,20
2018/09/08,27
2018/09/09,25
2018/09/10,30
2018/09/11,38
2018/09/12,39
2018/09/13,38
2018/09/14,23
2018/09/15,37
2018/09/16,35
2018/09/17,33
2018/09/18,37
2018/09/19,41
2018/09/20,45
2018/09/21,39
2018/09/22,29
2018/09/23,20
2018/09/24,15
2018/09/25,15
2018/09/26,17
2018/09/27,37
2018/09/28,36
2018/09/29,28
2018/09/30,22
2018/10/01,20
2018/10/02,17
2018/10/03,33
2018/10/04,45
2018/10/05,37
2018/10/06,46
2018/10/07,32
2018/10/08,44
2018/10/09,58
2018/10/10,53
2018/10/11,53
2018/10/12,34
2018/10/13,58
2018/10/14,52
2018/10/15,50
2018/10/16,46
2018/10/17,55
2018/10/18,57
2018/10/19,52
2018/10/20,61
2018/10/21,61
2018/10/22,15
2018/10/23,30
2018/10/24,15
2018/10/25,59
2018/10/26,34
2018/10/27,34
2018/10/28,14
2018/10/29,13
2018/10/30,7
2018/10/31,20
2018/11/01,17
2018/11/02,29
2018/11/03,15
2018/11/04,23
2018/11/05,22
2018/11/06,22
2018/11/07,21
2018/11/08,24
2018/11/09,28
2018/11/10,46
2018/11/11,39
2018/11/12,30
2018/11/13,30
2018/11/14,54
2018/11/15,63
2018/11/16,30
2018/11/17,22
2018/11/18,21
2018/11/19,31
2018/11/20,-999
2018/11/21,-999
2018/11/22,-999
2018/11/23,56
2018/11/24,17
2018/11/25,34
2018/11/26,36
2018/11/27,52
2018/11/28,52
2018/11/29,54
2018/11/30,58
2018/12/01,72
2018/12/02,71
2018/12/03,88
2018/12/04,83
2018/12/05,90
2018/12/06,66
2018/12/07,103
2018/12/08,28
2018/12/09,35
2018/12/10,10
2018/12/11,22
2018/12/12,45
2018/12/13,40
2018/12/14,55
2018/12/15,64
2018/12/16,78
2018/12/17,74
2018/12/18,83
2018/12/19,74
2018/12/20,33
2018/12/21,40
2018/12/22,43
2018/12/23,50
2018/12/24,38
2018/12/25,49
2018/12/26,43
2018/12/27,63
2018/12/28,82
2018/12/29,96
2018/12/30,62
2018/12/31,71
2019/01/01,111
2019/01/02,29
2019/01/03,25
2019/01/04,54
2019/01/05,72
2019/01/06,77
2019/01/07,105
2019/01/08,123
2019/01/09,36
2019/01/10,14
2019/01/11,37
2019/01/12,70
2019/01/13,76
2019/01/14,23
2019/01/15,34
2019/01/16,56
2019/01/17,52
2019/01/18,57
2019/01/19,24
2019/01/20,52
2019/01/21,78
2019/01/22,82
2019/01/23,65
2019/01/24,64
2019/01/25,80
2019/01/26,92
2019/01/27,80
2019/01/28,52
2019/01/29,63
2019/01/30,34
2019/01/31,51
2019/02/01,39
2019/02/02,37
2019/02/03,36
2019/02/04,50
2019/02/05,67
2019/02/06,100
2019/02/07,100
2019/02/08,121
2019/02/09,86
2019/02/10,74
2019/02/11,25
2019/02/12,19
2019/02/13,48
2019/02/14,75
2019/02/15,89
2019/02/16,101
2019/02/17,97
2019/02/18,92
2019/02/19,39
2019/02/20,77
2019/02/21,91
2019/02/22,93
2019/02/23,68
2019/02/24,39
2019/02/25,70
2019/02/26,74
