Id Sensore,Data-Ora,Valore Medio giornaliero,Valore Minimo orario,Valore Massimo orario
2002,2018/02/26,48.2,37.5,74.3
2002,2018/02/27,53.4,35.3,72.8
2002,2018/02/28,55.8,36.2,78.0
2002,2018/03/01,93.3,74.0,99.8
2002,2018/03/02,97.5,86.7,99.0
2002,2018/03/03,99.7,99.0,100.0
2002,2018/03/04,98.2,80.7,100.0
2002,2018/03/05,94.0,72.8,100.0
2002,2018/03/06,96.4,81.5,100.0
2002,2018/03/07,96.6,76.2,100.0
2002,2018/03/08,72.1,29.5,100.0
2002,2018/03/09,68.2,37.2,90.8
2002,2018/03/10,97.2,84.2,100.0
2002,2018/03/11,100.0,100.0,100.0
2002,2018/03/12,93.0,69.2,100.0
2002,2018/03/13,76.8,42.7,100.0
2002,2018/03/14,64.5,27.7,98.7
2002,2018/03/15,91.9,73.8,100.0
2002,2018/03/16,79.0,47.3,100.0
2002,2018/03/17,96.8,84.2,99.0
2002,2018/03/18,97.5,86.5,99.8
2002,2018/03/19,97.7,93.7,99.3
2002,2018/03/20,81.1,54.7,99.0
2002,2018/03/21,69.5,43.5,99.0
2002,2018/03/22,52.3,37.0,76.2
2002,2018/03/23,63.8,36.7,100.0
2002,2018/03/24,55.6,38.2,72.7
2002,2018/03/25,54.6,32.7,82.5
2002,2018/03/26,62.6,34.0,98.2
2002,2018/03/27,55.0,25.3,90.5
2002,2018/03/28,69.8,53.5,87.8
2002,2018/03/29,86.1,77.8,96.0
2002,2018/03/30,78.2,46.7,100.0
2002,2018/03/31,84.4,50.5,100.0
2002,2018/04/01,38.1,16.3,100.0
2002,2018/04/02,51.6,36.3,67.0
2002,2018/04/03,72.2,51.7,100.0
2002,2018/04/04,99.7,95.8,100.0
2002,2018/04/05,80.4,50.3,100.0
2002,2018/04/06,72.4,45.2,100.0
2002,2018/04/07,68.0,42.0,98.8
2002,2018/04/08,57.8,39.8,82.2
2002,2018/04/09,81.6,57.2,100.0
2002,2018/04/10,91.9,74.7,100.0
2002,2018/04/11,91.0,66.0,100.0
2002,2018/04/12,89.9,57.5,100.0
2002,2018/04/13,79.5,50.7,100.0
2002,2018/04/14,68.4,39.7,97.8
2002,2018/04/15,73.6,49.8,91.3
2002,2018/04/16,66.3,38.3,93.0
2002,2018/04/17,67.1,42.2,93.7
2002,2018/04/18,62.6,28.8,90.7
2002,2018/04/19,59.6,36.3,95.0
2002,2018/04/20,57.7,27.3,93.7
2002,2018/04/21,56.9,30.3,89.5
2002,2018/04/22,53.0,32.7,75.2
2002,2018/04/23,55.5,34.0,92.8
2002,2018/04/24,54.6,37.3,85.7
2002,2018/04/25,51.3,34.5,73.7
2002,2018/04/26,58.5,42.7,80.3
2002,2018/04/27,64.1,50.7,82.0
2002,2018/04/28,67.5,41.8,96.5
2002,2018/04/29,61.5,40.3,79.2
2002,2018/04/30,48.2,27.3,79.2
2002,2018/05/01,61.3,37.0,92.3
2002,2018/05/02,89.6,85.0,93.3
2002,2018/05/03,90.1,75.2,99.7
2002,2018/05/04,80.3,43.8,97.5
2002,2018/05/05,71.8,43.7,99.0
2002,2018/05/06,69.5,42.7,99.0
2002,2018/05/07,66.3,49.2,88.2
2002,2018/05/08,68.2,42.2,95.4
2002,2018/05/09,78.4,50.0,97.0
2002,2018/05/10,70.1,45.7,96.5
2002,2018/05/11,72.8,39.2,96.0
2002,2018/05/12,74.6,45.5,98.0
2002,2018/05/13,69.2,42.8,87.8
2002,2018/05/14,67.0,41.5,94.2
2002,2018/05/15,67.9,52.8,85.0
2002,2018/05/16,74.8,45.5,94.7
2002,2018/05/17,73.0,44.0,97.0
2002,2018/05/18,63.3,39.0,91.0
2002,2018/05/19,67.3,38.8,85.3
2002,2018/05/20,70.9,40.3,94.2
2002,2018/05/21,69.6,40.5,95.7
2002,2018/05/22,81.9,66.2,92.7
2002,2018/05/23,71.7,44.3,96.0
2002,2018/05/24,65.0,39.8,95.7
2002,2018/05/25,58.6,34.0,89.7
2002,2018/05/26,61.4,41.5,84.2
2002,2018/05/27,61.8,41.2,90.0
2002,2018/05/28,71.9,48.3,97.0
2002,2018/05/29,73.4,49.0,96.7
2002,2018/05/30,74.8,52.8,92.7
2002,2018/05/31,68.6,48.0,97.5
2002,2018/06/01,58.9,41.3,79.7
2002,2018/06/02,59.3,41.5,81.0
2002,2018/06/03,58.5,39.0,86.3
2002,2018/06/04,80.0,49.5,96.0
2002,2018/06/05,66.0,42.0,95.0
2002,2018/06/06,61.9,47.0,85.5
2002,2018/06/07,60.6,39.3,89.7
2002,2018/06/08,74.4,48.8,95.8
2002,2018/06/09,62.9,37.8,93.0
